flightTime,cycleId,lng,lat,alt,heading,pitch,roll
2026-06-04 10:00:00.000,1,104.070015,30.569996,500.6,89.93,4.73,-0.12
2026-06-04 10:00:00.000,1,103.900009,30.700005,500.0,44.93,2.49,-0.18
2026-06-04 10:00:05.000,2,104.072253,30.571123,504.7,90.52,3.93,0.49
2026-06-04 10:00:05.000,2,103.901652,30.701377,504.6,45.08,3.69,-0.49
2026-06-04 10:00:10.000,3,104.074474,30.572294,521.4,90.41,3.69,0.05
2026-06-04 10:00:10.000,3,103.903387,30.702746,519.1,44.74,3.52,-0.03
2026-06-04 10:00:15.000,4,104.076682,30.573365,549.0,90.73,4.36,0.52
2026-06-04 10:00:15.000,4,103.905,30.704122,538.4,44.83,2.54,-0.02
2026-06-04 10:00:20.000,5,104.078967,30.574469,584.9,91.42,4.43,1.06
2026-06-04 10:00:20.000,5,103.906766,30.705558,568.3,44.83,3.69,-0.13
2026-06-04 10:00:25.000,6,104.081126,30.5756,631.7,91.21,4.4,-0.14
2026-06-04 10:00:25.000,6,103.908349,30.706986,605.6,44.13,2.61,-1.02
2026-06-04 10:00:30.000,7,104.083345,30.576667,684.0,91.72,3.71,-0.38
2026-06-04 10:00:30.000,7,103.910037,30.708412,649.7,43.71,3.72,-0.97
2026-06-04 10:00:35.000,8,104.085599,30.577812,749.2,91.93,3.25,-0.06
2026-06-04 10:00:35.000,8,103.911697,30.709723,697.9,44.1,3.24,0.33
2026-06-04 10:00:40.000,9,104.087855,30.578971,815.7,92.08,4.25,-0.33
2026-06-04 10:00:40.000,9,103.913334,30.711155,753.5,44.38,2.62,-0.22
2026-06-04 10:00:45.000,10,104.090035,30.579961,893.6,92.51,3.55,-0.79
2026-06-04 10:00:45.000,10,103.915054,30.712505,814.6,43.46,3.17,0.63
2026-06-04 10:00:50.000,11,104.092254,30.581092,974.7,92.4,4.01,-0.64
2026-06-04 10:00:50.000,11,103.916704,30.713901,879.1,43.75,2.69,0.04
2026-06-04 10:00:55.000,12,104.094475,30.582232,1061.6,92.64,3.1,0.38
2026-06-04 10:00:55.000,12,103.918391,30.715315,948.2,43.69,3.04,-0.75
2026-06-04 10:01:00.000,13,104.096722,30.583425,1152.0,93.63,3.69,0.32
2026-06-04 10:01:00.000,13,103.920094,30.716787,1021.3,43.29,3.01,-0.16
2026-06-04 10:01:05.000,14,104.098964,30.58446,1248.4,94.11,3.64,0.58
2026-06-04 10:01:05.000,14,103.921731,30.718132,1098.9,43.11,3.19,-0.05
2026-06-04 10:01:10.000,15,104.101199,30.585637,1344.2,94.12,4.0,-0.68
2026-06-04 10:01:10.000,15,103.923396,30.719455,1175.4,43.1,3.58,0.18
2026-06-04 10:01:15.000,16,104.103404,30.586713,1443.0,94.48,4.25,-0.32
2026-06-04 10:01:15.000,16,103.925084,30.720881,1255.4,42.72,2.92,0.28
2026-06-04 10:01:20.000,17,104.105667,30.587847,1546.6,94.02,4.76,-0.61
2026-06-04 10:01:20.000,17,103.926697,30.722297,1337.1,42.93,2.6,-0.38
2026-06-04 10:01:25.000,18,104.107865,30.588942,1651.0,95.06,4.2,-0.07
2026-06-04 10:01:25.000,18,103.928421,30.723711,1421.0,42.68,2.88,-1.26
2026-06-04 10:01:30.000,19,104.110036,30.590124,1753.8,95.75,3.15,0.51
2026-06-04 10:01:30.000,19,103.930095,30.725105,1505.3,42.58,2.49,-0.6
2026-06-04 10:01:35.000,20,104.112384,30.591119,1859.9,95.06,3.97,0.21
2026-06-04 10:01:35.000,20,103.931749,30.726494,1587.0,42.3,3.93,-0.0
2026-06-04 10:01:40.000,21,104.11458,30.592359,1963.2,95.54,4.39,0.04
2026-06-04 10:01:40.000,21,103.933398,30.727883,1670.3,42.2,3.16,-0.12
2026-06-04 10:01:45.000,22,104.116833,30.593389,2066.4,95.8,4.35,-0.01
2026-06-04 10:01:45.000,22,103.935069,30.729268,1752.2,41.95,2.57,0.89
2026-06-04 10:01:50.000,23,104.119065,30.594529,2166.3,96.41,5.05,-0.32
2026-06-04 10:01:50.000,23,103.936786,30.730656,1831.7,41.76,2.9,-0.03
2026-06-04 10:01:55.000,24,104.121262,30.59567,2262.1,96.16,3.42,-0.23
2026-06-04 10:01:55.000,24,103.938462,30.732022,1909.3,42.34,3.43,0.31
2026-06-04 10:02:00.000,25,104.123481,30.596794,2359.7,96.83,3.74,-0.3
2026-06-04 10:02:00.000,25,103.940107,30.733458,1987.2,41.8,3.37,-0.2
2026-06-04 10:02:05.000,26,104.125691,30.597873,2447.8,96.73,3.72,0.58
2026-06-04 10:02:05.000,26,103.941814,30.734878,2059.8,41.27,4.62,-0.46
2026-06-04 10:02:10.000,27,104.127909,30.598954,2535.3,97.13,4.25,-0.12
2026-06-04 10:02:10.000,27,103.943433,30.736176,2128.6,41.86,3.69,0.17
2026-06-04 10:02:15.000,28,104.13014,30.600086,2613.3,97.75,3.82,-0.8
2026-06-04 10:02:15.000,28,103.945159,30.737625,2192.4,41.63,4.29,0.21
2026-06-04 10:02:20.000,29,104.132428,30.601198,2692.0,97.35,3.94,-0.35
2026-06-04 10:02:20.000,29,103.946816,30.739017,2252.5,41.21,2.92,-0.06
2026-06-04 10:02:25.000,30,104.134594,30.602356,2758.2,97.95,3.37,-0.48
2026-06-04 10:02:25.000,30,103.948435,30.7404,2305.2,41.46,3.63,0.1
2026-06-04 10:02:30.000,31,104.136932,30.603381,2819.9,98.39,4.21,0.54
2026-06-04 10:02:30.000,31,103.950125,30.741743,2356.3,40.49,3.82,-0.31
2026-06-04 10:02:35.000,32,104.139075,30.604524,2873.1,98.82,3.91,0.02
